orf1	gene1	type	orf2	gene2	descr	ref	evi
	SNR49	physical	YDL208w	NHP2	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR49	physical	YHR072w-a	NOP10	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR49	physical	YHR089c	GAR1		 9182752	902.01.01.02.01
	SNR5	physical	YDL208w	NHP2	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR5	physical	YHR072w-a	NOP10	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR5	physical	YHR089c	GAR1		 9182752	902.01.01.02.01
	SNR8	physical	YDL208w	NHP2	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR8	physical	YHR072w-a	NOP10	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR8	physical	YHR089c	GAR1		 9182752	902.01.01.02.01
	SNR9	physical	YDL208w	NHP2	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR9	physical	YHR072w-a	NOP10	coimmunoprecipitation	9843512	902.01.01.02.01.01
	SNR9	physical	YHR089c	GAR1		 9182752	902.01.01.02.01
	SNRNa	physical	YBL026w	LSM2	coimmunoprecipitation	10428970	902.01.01.02.01.01
	SNRNa	physical	YBL026w	LSM2	two hybrid	10428970	902.01.01.02.01.07,902.01.09.01
	SNRNa	physical	YER112w	LSM4	coimmunoprecipitation; two hybrid	10428970	902.01.01.02.01.07,902.01.01.02.01.01
	SNRNa	physical	YER146w	LSM5	coimmunoprecipitation; two hybrid	10428970	902.01.01.02.01.07,902.01.01.02.01.01
	SNRNa	physical	YJR022w	LSM8	coimmunoprecipitation; two hybrid	10428970	902.01.01.02.01.07,902.01.01.02.01.01
	SNRNa	physical	YLR438c-a	LSM3	coimmunoprecipitation; two hybrid	10428970	902.01.01.02.01.07,902.01.01.02.01.01
	SNRNa	physical	YNL147w	LSM7	coimmunoprecipitation; two hybrid	10428970	902.01.01.02.01.07,902.01.01.02.01.01
	SPC319	physical	YKR037c	SPC34	two hybrid	10655498	902.01.01.02.01.07,902.01.09.02
	STE4-STE18	physical	YDR183w	PLP1	coimmunoprecipitation	20309803	902.01.01.02.01.01
	STH2	physical	YLR321c	SFH1	two hybrid	9154831	902.01.01.02.01.07,902.01.09.01
	SUR3	genetic	YCR009c	RVS161	rvs161 mutants can be suppressed by sur3 mutants	8488727	902.01.01.02.02.01
	SUR3	genetic	YCR009c	RVS161	suppression	8488727	902.01.01.02.02.01
	TLC1	physical	YLR233c	EST1	coimmunoprecipitation epitope-tagged	7600580	902.01.01.02.01.01.02
	TLC1	physical	YLR233c	EST1	coprecipitates with TLC1 telomerase RNA	7600580	902.01.01.02.01.01
	TLC1	physical	YLR233c	EST1	epitope-tagged protein brings down TLC1 RNA in immunoprecipitates	7600580	902.01.01.02.01.01
	TLC1	physical	YLR318w	EST2	coimmunoprecipitation	9326584	902.01.01.02.01.01
	TLC1	genetic	YMR106c	YKU80	synthetic growth defect	9563951	902.01.01.02.02.02
	TY1a	physical	YPL253c	VIK1	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
	TY2a	physical	TY2A_F	YFL002w-a	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
	TY2b	physical	TY2A_B	YBL101w-a	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
	TY2b	physical	TY2A_C	YCL020w	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
	TY3a	physical	YGR024c	YGR024c	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
	TY4a	physical	YGL115w	SNF4	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
	U18_SNRNa	physical	YDL014w	NOP1		 9182752	902.01.01.02.01
	U1SNRNP	physical	YLR116w	MSL5	two hybrid; coimmunoprecipitation		902.01.01.02.01.07,902.01.01.02.01.01
	U24_SNRNa	physical	YDL014w	NOP1		 9182752	902.01.01.02.01
	U5_SNRNa	physical	YHR165c	PRP8	photo-crosslinking	9848662	902.01.01.02.01.05
	U5_SNRNa	physical	YHR165c	PRP8	Prp8p interacts with five different regions of the 5'-stem loop of U5 snRNA	9848662	902.01.01.02.01
	U5_SNRNa	physical	YKL173w	SNU114	photo-crosslinking	9848662	902.01.01.02.01.05
	U5_SNRNa	physical	YKL173w	SNU114	Snu114p contacts the 5'side of internal loop 1 of U5 snRNA	9848662	902.01.01.02.01
	U6	physical	YBL026w	LSM2	coimmunoprecipitation	10428970	902.01.01.02.01.01
	U6	physical	YBL026w	LSM2	two hybrid	10428970	902.01.01.02.01.07,902.01.09.01
	U6	physical	YBL026w	LSM2	two hybrid	9207794	902.01.01.02.01.07,902.01.09.01
	U6	physical	YER112w	LSM4	coimmunoprecipitation; two hybrid	10428970	902.01.01.02.01.07,902.01.01.02.01.01
	U6	physical	YER112w	LSM4	two hybrid	9207794	902.01.01.02.01.07,902.01.09.01
	U6	physical	YER146w	LSM5	coimmunoprecipitation; two hybrid	10428970	902.01.01.02.01.07,902.01.01.02.01.01
	U6	physical	YER146w	LSM5	coimmunoprecipitation	10747033	902.01.01.02.01.01
	U6	physical	YJR022w	LSM8	coimmunoprecipitation; two hybrid	10428970	902.01.01.02.01.07,902.01.01.02.01.01
	U6	physical	YLR438c-a	LSM3	coimmunoprecipitation; two hybrid	10428970	902.01.01.02.01.07,902.01.01.02.01.01
	U6	physical	YNL147w	LSM7	coimmunoprecipitation; two hybrid	10428970	902.01.01.02.01.07,902.01.01.02.01.01
	U6	physical	YNL147w	LSM7	coimmunoprecipitation	10747033	902.01.01.02.01.01
	U6 SNRNa	physical	YDR378c	LSM6	coimmunoprecipitation; two hybrid	10428970	902.01.01.02.01.07,902.01.01.02.01.01
TY2A_B	YBL101w-a	physical	YBL043w	ECM13	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
TY2A_B	YBL101w-a	physical	YNL229c	URE2	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
TY2A_B	YBL101w-a	physical	YJL162c	YJL162c	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YER007c-a	YER007c-a	physical	YDR326c	YDR326c	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
TY3A_I	YIL082w	physical	YGR024c	YGR024c	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
TY4A_J	YJL114w	physical	YGL115w	SNF4	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YKR035c	YKR035c	physical	YHL044w	YHL044w	two hybrid	10655498	902.01.01.02.01.07,902.01.09.02
TY1A_MR2	YMR051c	physical	YPL253c	VIK1	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YMR075c-a	YMR075c-a	physical	YCR023c	YCR023c	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YMR316c-b	YMR316c-b	physical	YDL089w	YDL089w	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YMR316c-b	YMR316c-b	physical	YMR039c	SUB1	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
Q0045	COX1	physical	YGL187c	COX4			902.01.01.02.01
Q0045	COX1	physical	YGL187c	COX4	Cox4p is associated with subunit 1 and 3 of the Cytochrome c oxidase complex	8638158	902.01.01.02.01
Q0085	ATP6	physical	YPL078c	ATP4	Cys54 of Atp4p bounds Atp6p by a disulfide bridge	9425084	902.01.01.02.01
Q0085	ATP6	physical	YPL078c	ATP4	cross linking;cross-linking	9425084,9893937	902.01.01.02.01.05
Q0250	COX2	physical	YER154w	OXA1	analyzed by chemical cross-linking	9482871	902.01.01.02.01.05
Q0275	COX3	physical	YER154w	OXA1	analyzed by chemical cross-linking	9482871	902.01.01.02.01.05
Q0275	COX3	physical	YGL187c	COX4	associated with subunit 1 and 3 of the cytochrome-c oxidase complex;Cox4p is associated with subunit 1 and 3 of the Cytochrome c oxidase complex	8638158	902.01.01.02.01
snRNA_U5	U5_SNRNa	physical	YHR165c	PRP8	has genetic interaction with RNA helicases of the DEAD-box family	1396567	902.01.01.02.01
YAL001c	TFC3	genetic	YDR362c	TFC6	dominant mutation TFC6-E330K suppress the phenotype of tfc3-G349E;dominant mutation TFC6-E330K suppresses the phenotype of tfc3-G349E;Tfc3p and Tfc6p cooperate in DNA binding;suppression partial alteration	9418847	902.01.01.02.02.01.01.02
YAL001c	TFC3	physical	YDR362c	TFC6	gel retardation experiment;Tfc3p and Tfc6p cooperate in DNA binding	9418847	902.01.01.02.01.04
YAL001c	TFC3	genetic	YER148w	SPT15	mutant tsv115 can be weakly suppressed by SPT15 overexpression	8617241	902.01.01.02.02
YAL001c	TFC3	genetic	YGR246c	BRF1	mutant tsv115 can be suppressed by BRF1 overexpression;mutant tsv115 can be suppressed by overexpression of BRF1;suppression overexpression		902.01.01.02.02.01.02.01
YAL002w	VPS8	genetic	YOR089c	VPS21	VPS21 overexpression partially suppresses vps8 null mutant phenotype;suppression overexpression		902.01.01.02.02.01.02.01
YAL003w	EFB1	genetic	YBR118w	TEF2	overproduction can suppress efb1 null mutation; suppression overexpression		902.01.01.02.02.01.02.01
YAL003w	EFB1	genetic	YBR118w	TEF2	null mutant can be suppressed by overproduction of Tef2p	8647386	902.01.01.02.02.01
YAL003w	EFB1	physical	YBR118w	TEF2	copurification, crystal structure	11134944,8647386	902.01.01.02.01
YAL003w	EFB1	physical	YKL081w	TEF4	paart of translation elongation factor EF-1 gamma	8041634	902.01.01.02.01
YAL003w	EFB1	genetic	YPR080w	TEF1	efb1 null mutant can be suppressed by overproduction of Tef1p although suppressed strains grow slowly and have increased sensitivity cold and to elongation inhibitorsuppression		902.01.01.02.02.01
YAL003w	EFB1	physical	YPR080w	TEF1	copurification, crystal structure	11134944,8647386	902.01.01.02.01
YAL005c	SSA1	physical	YAL040c	CLN3	Ssa1p was found associated with Cln3(404-488)-beta-gal	8668184	902.01.01.02.01
YAL005c	SSA1	genetic	YER151c	UBP3	ssa1 ssa2 ts mutant phenotype is suppressed by overexpression of Ubp3p;UBP3 is a high copy suppressor of ssa1 ssa2 temperature sensitivity;suppression overexpression	8982460	902.01.01.02.02.01.02.01
YAL005c	SSA1	genetic	YJL061w	NUP82	overexpression of SSA1 is sufficient to suppress the import defects of green fluorescent protein fused to the SV-40 large T antigen nuclear localization signal (NLS-GFP) in nup82-3 cells;overexpression of SSA1 is sufficient to suppress the import defects		902.01.01.02.02.01.02.01
YAL005c	SSA1	physical	YLR310c	CDC25	coimmunoprecipitation; copurification;epitope-tagged coimmuno affinity chromatography;Ssa1p copurifies with C-terminal part of Cdc25p	10094633	902.01.01.02.01.01.02
YAL005c	SSA1	physical	YNL064c	YDJ1	gel retardation experiment;binds with Ssa1p to prepro-alpha factor and stimulates uptake in an in vitro ER-translocation assay;in vitro interaction	1400408	902.01.01.02.01.04
YAL005c	SSA1	genetic	YNL189w	SRP1	overexpression of SSA1 is sufficient to suppress the import defects of green fluorescent protein fused to the SV-40 large T antigen nuclear localization signal (NLS-GFP) in srp1-31 cells;overexpression of SSA1 is sufficient to suppress the NLS-GFP import		902.01.01.02.02.01.02.01
YAL005c	SSA1	physical	YPL240c	HSP82	affinity chromatography;epitope-tagged chelate affinity chromatography	7929182	902.01.01.02.01.02
YAL009w	SPO7	genetic	YDL116w	NUP84	synthetic lethal	9822591	902.01.01.02.02.02.01
YAL009w	SPO7	genetic	YGL100w	SEH1	synthetic growth defect	9822591	902.01.01.02.02.02
YAL009w	SPO7	physical	YHR004c	NEM1	epitope-tagged coimmuno affinity chromatography;copurification;Nem1p C-terminus inteacts with Spo7p;two hybrid	9822591	902.01.01.02.01.01.02,902.01.01.02.01.07
